주소이름,분류,날짜,기간,제목,요약,주최,성과 한 줄,자세히 링크,수상작,본문,사진
tu-game-challenge-2025,공모전,2025.10,,TU Game Challenge 2025 수상 석권,"최우수상 2개 부문, 우수상, 장려상 동시 수상.",동명대학교 게임공학과,"최우수상 2, 우수상 1, 장려상 1",,"최우수상 | 마음을 담아 | maeumeul-dama
최우수상 | Cross Wordle | cross-wordle
우수상 | ALCOHOL FREE | alcohol-free
장려상 | RGB Line | rgb-line",,
ieee-busan-award,공모전,2025.10,,IEEE Busan Section Award,'Cross Wordle' 알고리즘 및 아키텍처 우수성 입증.,IEEE 부산지부,특별상 (Excellence Prize),,특별상 | Cross Wordle | cross-wordle,,
gstar-2025,전시회,2025.11,2025.11.13 ~ 2025.11.16,지스타 2025 부스 운영,주요 작품 B2C 부스 오프라인 전시 운영.,부산 벡스코,,,,"국내 최대 게임쇼에 참가해 3개 타이틀의 오프라인 시연 부스를 운영했습니다.
수백 명의 실제 관람객으로부터 피드백을 확보했고, 이후 업데이트 방향을 정하는 근거가 되었습니다.","부스 전경 |
시연 현장 |
팀 단체 사진 |"
ggj-2026,전시회,2026.01,2026.01.30 ~ 2026.02.01,Global Game Jam 2026,'포우포우 위치' 우수작 출품 및 시연 진행.,Global Game Jam 부산,,,,부산 오프라인 현장에서 48시간 안에 게임을 완성하는 해커톤에 참가해 성공적으로 시연했습니다.,현장 개발 |
busan-scholarship,기타,2025.12,,부산지역인재장학 선정,우수 IT 인재 공인 및 장학금 수혜.,부산광역시,,,,엔진 개발 및 최적화 프로젝트의 기술력을 인정받아 장학생으로 선발되었습니다.,
cs-mentoring,기타,2025.02,2024.10 ~ 2025.02,Computer Science 멘토링,자체 교재를 활용한 C++ 스터디 진행.,UPTRAND,,,,자체 교재를 집필해 메모리 구조와 최적화를 다루는 멘토링을 진행했습니다.,
