주소이름,제목,한 줄 소개,상태,태그,썸네일,플레이 영상,스크린샷,개발 기간,참여 인원,개발 도구,본문,링크,상세 페이지,성과
maeumeul-dama,마음을 담아,동양화풍의 서정적인 스토리가 결합된 워드 퍼즐 비주얼 노벨.,개발 중,"Puzzle, Visual Novel",,,"게임 플레이 화면 |
스토리 연출 |",2025.03 ~ 2025.10,"기획 2, 아트 3, 프로그래밍 2","Unity, C#, Clip Studio Paint","조각난 기억들이 별이 되어 빛납니다. 문장을 완성하여 숨겨진 의미를 찾아보세요.
한글 자소 조합 알고리즘과 동적 퍼즐 UI 레이아웃을 직접 구현했고, 붓글씨 커스텀 셰이더로 동양화의 질감을 살렸습니다.",플레이하기 | # | play,,TU Game Challenge 2025 최우수상
alcohol-free,ALCOHOL FREE,자체 에디터 툴을 도입하여 개발한 달콤한 무알콜 성장 로맨스.,완료,"Visual Novel, Tool Dev",,,"본편 화면 |
커스텀 노드 에디터 |",2024.09 ~ 2025.08,"기획 2, 아트 4, 프로그래밍 2","Unity, C#, Blender","취하지 않아도 기분 좋은 성장 로맨스 비주얼 노벨입니다.
디자이너가 직접 대본을 엮을 수 있도록 커스텀 블루프린트 노드 에디터와 파서를 만들었고, 잔 안에서 찰랑이는 액체를 물리 셰이더로 표현했습니다.","플레이하기 | # | play
다운로드 | # | download",,G-Star 2025 인디 쇼케이스 전시
rgb-line,RGB Line,색상 매칭과 리듬을 결합한 하이퍼 캐주얼 리듬 액션 게임.,완료,"Rhythm, Shader",,,플레이 화면 |,2025.03 ~ 2025.09,"기획 1, 아트 2, 프로그래밍 2","Unity, C#","색상 매칭과 리듬을 결합하여 반응 속도의 한계를 시험하는 하이퍼 캐주얼 게임입니다.
에디터와 코어 게임 시스템을 분리한 구조로 설계했고, 수학 공식 기반의 메타볼릭 셰이더로 화면을 구성했습니다.",플레이하기 | # | play,,TU Game Challenge 2025 장려상
cross-wordle,Cross Wordle,가로세로 낱말을 추리하는 워드 퍼즐. 알고리즘 설계로 IEEE 상을 받았습니다.,완료,"Puzzle, Algorithm",,,퍼즐 화면 |,2025.03 ~ 2025.09,"기획 1, 아트 1, 프로그래밍 2","Unity, C#","제한된 힌트만으로 가로와 세로 낱말을 동시에 맞춰 나가는 워드 퍼즐입니다.
퍼즐 생성과 검증을 담당하는 알고리즘의 최적화, 그리고 시스템 아키텍처의 우수성을 인정받았습니다.",플레이하기 | # | play,,"TU Game Challenge 2025 최우수상
IEEE Busan Section Award
G-Star 2025 인디 쇼케이스 전시"
powpow-witch,포우포우 위치,48시간 만에 완성한 마녀 액션. 글로벌 게임잼 출품작.,완료,"Action, Game Jam",,,게임잼 시연 화면 |,2026.01,"기획 1, 아트 2, 프로그래밍 2","Unity, C#, Aseprite","글로벌 게임잼 2026 부산 오프라인 현장에서 48시간 안에 완성한 작품입니다.
짧은 기간 안에 확실한 손맛 하나만 남기자는 목표로 스코프를 좁혀 개발했습니다.",플레이하기 | # | play,,
